"","Recruit_ID","Treatment","Tank","Day","polyp_area","nDay"
"228","1061","DHE","T3","60",1.115,60
"229","1061","DHE","T3","67",1.292,67
"230","1062","DHE","T3","11",0.266,11
"231","1062","DHE","T3","18",0.24,18
"232","1062","DHE","T3","24",0.226,24
"233","1062","DHE","T3","38",0.446,38
"234","1062","DHE","T3","46",0.661,46
"235","1062","DHE","T3","54",0.793,54
"236","1062","DHE","T3","60",0.996,60
"237","1062","DHE","T3","67",1.055,67
"238","1063","DHE","T3","11",0.081,11
"239","1063","DHE","T3","18",0.076,18
"240","1063","DHE","T3","24",0.07,24
"241","1063","DHE","T3","38",0.183,38
"242","1063","DHE","T3","46",0.241,46
"243","1063","DHE","T3","54",0.256,54
"244","1063","DHE","T3","60",0.312,60
"245","1063","DHE","T3","67",0.32,67
"246","1065","DHE","T3","11",0.185,11
"247","1065","DHE","T3","18",0.315,18
"248","1065","DHE","T3","24",0.304,24
"249","1065","DHE","T3","38",0.699,38
"250","1065","DHE","T3","46",1.285,46
"251","1065","DHE","T3","54",1.33,54
"252","1065","DHE","T3","60",1.685,60
"253","1065","DHE","T3","67",1.754,67
"254","1067","DHE","T3","11",0.109,11
"255","1067","DHE","T3","18",0.154,18
"256","1067","DHE","T3","24",0.195,24
"257","1067","DHE","T3","38",0.457,38
"258","1067","DHE","T3","46",0.79,46
"259","1067","DHE","T3","54",1.087,54
"260","1067","DHE","T3","60",1.402,60
"261","1067","DHE","T3","67",1.524,67
"262","1068","DHE","T3","11",0.118,11
"263","1068","DHE","T3","18",0.13,18
"264","1068","DHE","T3","24",0.136,24
"265","1068","DHE","T3","38",0.322,38
"266","1068","DHE","T3","46",0.663,46
"267","1068","DHE","T3","54",0.874,54
"268","1068","DHE","T3","60",1.054,60
"269","1068","DHE","T3","67",1.071,67
"270","1069","DHE","T3","11",0.169,11
"271","1069","DHE","T3","18",0.183,18
"272","1069","DHE","T3","24",0.155,24
"273","1069","DHE","T3","38",0.414,38
"274","1069","DHE","T3","46",0.564,46
"275","1069","DHE","T3","54",0.495,54
"276","1069","DHE","T3","60",0.564,60
"277","1069","DHE","T3","67",0.636,67
"278","1070","DHE","T3","11",0.226,11
"279","1070","DHE","T3","18",0.256,18
"280","1070","DHE","T3","24",0.405,24
"281","1070","DHE","T3","38",1.812,38
"282","1070","DHE","T3","46",2.577,46
"283","1070","DHE","T3","54",2.806,54
"284","1070","DHE","T3","60",3.703,60
"285","1070","DHE","T3","67",4.632,67
"286","1071","DHE","T3","11",0.07,11
"287","1071","DHE","T3","18",0.117,18
"288","1071","DHE","T3","24",0.204,24
"289","1071","DHE","T3","38",0.14,38
"290","1072","DHE","T3","11",0.097,11
"291","1072","DHE","T3","18",0.076,18
"292","1072","DHE","T3","24",0.08,24
"293","1072","DHE","T3","38",0.125,38
"294","1072","DHE","T3","46",0.237,46
"295","1072","DHE","T3","54",0.346,54
"296","1072","DHE","T3","60",0.627,60
"297","1072","DHE","T3","67",0.644,67
"298","1073","DHE","T3","11",0.37,11
"299","1073","DHE","T3","18",0.315,18
"300","1073","DHE","T3","24",0.482,24
"301","1073","DHE","T3","38",0.821,38
"302","1073","DHE","T3","46",1.433,46
"303","1073","DHE","T3","54",2.063,54
"304","1073","DHE","T3","60",2.71,60
"305","1073","DHE","T3","67",3.208,67
"306","1074","DHE","T3","11",0.077,11
"307","1074","DHE","T3","18",0.127,18
"308","1075","DHE","T3","11",0.3,11
"309","1075","DHE","T3","18",0.299,18
"310","1075","DHE","T3","24",0.402,24
"311","1075","DHE","T3","38",0.806,38
"312","1075","DHE","T3","46",1.697,46
"313","1075","DHE","T3","54",1.836,54
"314","1075","DHE","T3","60",2.52,60
"315","1075","DHE","T3","67",3.028,67
"316","1076","DHE","T3","11",0.045,11
"317","1076","DHE","T3","18",0.062,18
"318","1077","DHE","T3","11",0.391,11
"319","1077","DHE","T3","18",0.396,18
"320","1077","DHE","T3","24",0.494,24
"321","1077","DHE","T3","38",0.643,38
"322","1077","DHE","T3","46",0.976,46
"323","1077","DHE","T3","54",1.333,54
"324","1077","DHE","T3","60",1.721,60
"325","1077","DHE","T3","67",1.774,67
"326","1078","DHE","T3","11",0.277,11
"327","1078","DHE","T3","18",0.288,18
"328","1078","DHE","T3","24",0.275,24
"329","1078","DHE","T3","38",0.283,38
"330","1078","DHE","T3","46",0.411,46
"331","1078","DHE","T3","54",0.459,54
"332","1078","DHE","T3","60",0.628,60
"333","1078","DHE","T3","67",0.744,67
"334","1079","DHE","T3","11",0.436,11
"335","1079","DHE","T3","18",0.454,18
"336","1079","DHE","T3","24",0.459,24
"337","1079","DHE","T3","38",0.776,38
"338","1079","DHE","T3","46",1.531,46
"339","1079","DHE","T3","54",1.496,54
"340","1079","DHE","T3","60",1.815,60
"341","1079","DHE","T3","67",2.071,67
"342","1080","DHE","T3","11",0.138,11
"343","1080","DHE","T3","18",0.347,18
"344","1080","DHE","T3","24",0.367,24
"345","1080","DHE","T3","38",0.327,38
"346","1080","DHE","T3","46",0.614,46
"347","1080","DHE","T3","54",0.84,54
"348","1080","DHE","T3","60",0.937,60
"349","1080","DHE","T3","67",0.948,67
"350","1081","DHE","T3","11",0.246,11
"351","1081","DHE","T3","18",0.291,18
"352","1081","DHE","T3","24",0.318,24
"353","1082","DHE","T3","11",0.191,11
"354","1082","DHE","T3","18",0.344,18
"355","1082","DHE","T3","24",0.311,24
"356","1083","DHE","T3","11",0.358,11
"357","1083","DHE","T3","18",0.374,18
"358","1083","DHE","T3","24",0.434,24
"359","1083","DHE","T3","38",0.627,38
"360","1083","DHE","T3","46",0.88,46
"361","1083","DHE","T3","54",1.279,54
"362","1083","DHE","T3","60",1.407,60
"363","1083","DHE","T3","67",1.516,67
"364","1084","DHE","T3","11",0.3,11
"365","1084","DHE","T3","18",0.362,18
"366","1084","DHE","T3","24",0.437,24
"367","1084","DHE","T3","38",0.513,38
"368","1084","DHE","T3","46",1.607,46
"369","1084","DHE","T3","54",2.304,54
"370","1084","DHE","T3","60",2.844,60
"371","1084","DHE","T3","67",2.925,67
